Joueur 1: ['2345J', '3'], type : 0
Joueur 2: ['2345A', '1'], type : 0
Joueur 3: ['J345A', '2'], type : 0
Joueur 4: ['32T3K', '5'], type : 1
Joueur 5: ['Q2KJJ', '13'], type : 1
Joueur 6: ['T3T3J', '17'], type : 2
Joueur 7: ['KTJJT', '34'], type : 2
Joueur 8: ['KK677', '7'], type : 2
Joueur 9: ['T3Q33', '11'], type : 3
Joueur 10: ['T55J5', '29'], type : 3
Joueur 11: ['QQQJA', '31'], type : 3
Joueur 12: ['Q2Q2Q', '19'], type : 4
Joueur 13: ['2JJJJ', '53'], type : 5
Joueur 14: ['2AAAA', '23'], type : 5
Joueur 15: ['JJJJ2', '41'], type : 5
Joueur 16: ['JAAAA', '43'], type : 5
Joueur 17: ['AAAAJ', '59'], type : 5
Joueur 18: ['JJJJJ', '37'], type : 6
Joueur 19: ['AAAAA', '61'], type : 6
