Joueur 1: 23AK5 (926), type : 0
Joueur 2: 2436K (66), type : 0
Joueur 3: 259K4 (264), type : 0
Joueur 4: 286QA (992), type : 0
Joueur 5: 28T43 (726), type : 0
Joueur 6: 29K7A (946), type : 0
Joueur 7: 2T657 (719), type : 0
Joueur 8: 2T79Q (446), type : 0
Joueur 9: 2T965 (997), type : 0
Joueur 10: 2Q478 (135), type : 0
Joueur 11: 34982 (639), type : 0
Joueur 12: 35T9K (988), type : 0
Joueur 13: 3674Q (342), type : 0
Joueur 14: 37T48 (563), type : 0
Joueur 15: 37A82 (685), type : 0
Joueur 16: 3896Q (918), type : 0
Joueur 17: 392TK (885), type : 0
Joueur 18: 3Q274 (51), type : 0
Joueur 19: 3QT47 (516), type : 0
Joueur 20: 3K457 (982), type : 0
Joueur 21: 428K6 (178), type : 0
Joueur 22: 4297Q (147), type : 0
Joueur 23: 4297A (690), type : 0
Joueur 24: 43TK7 (753), type : 0
Joueur 25: 48T35 (428), type : 0
Joueur 26: 48K9Q (993), type : 0
Joueur 27: 49378 (524), type : 0
Joueur 28: 4T23A (666), type : 0
Joueur 29: 4K6Q5 (212), type : 0
Joueur 30: 4KQ39 (573), type : 0
Joueur 31: 523TQ (506), type : 0
Joueur 32: 52A4T (169), type : 0
Joueur 33: 539A4 (927), type : 0
Joueur 34: 56T8Q (766), type : 0
Joueur 35: 56QK8 (596), type : 0
Joueur 36: 56K97 (153), type : 0
Joueur 37: 5T487 (88), type : 0
Joueur 38: 5KT49 (295), type : 0
Joueur 39: 5A6K4 (236), type : 0
Joueur 40: 64AK9 (423), type : 0
Joueur 41: 65732 (556), type : 0
Joueur 42: 65792 (969), type : 0
Joueur 43: 68573 (881), type : 0
Joueur 44: 6954Q (144), type : 0
Joueur 45: 69K8A (4), type : 0
Joueur 46: 6T253 (375), type : 0
Joueur 47: 6T7KA (779), type : 0
Joueur 48: 6QK32 (290), type : 0
Joueur 49: 72TA9 (486), type : 0
Joueur 50: 72K89 (644), type : 0
Joueur 51: 74238 (1), type : 0
Joueur 52: 76A4Q (805), type : 0
Joueur 53: 78KTQ (458), type : 0
Joueur 54: 7953T (438), type : 0
Joueur 55: 79K54 (772), type : 0
Joueur 56: 7Q3K8 (121), type : 0
Joueur 57: 7QA42 (604), type : 0
Joueur 58: 7K4Q6 (466), type : 0
Joueur 59: 7A49T (697), type : 0
Joueur 60: 7AK35 (344), type : 0
Joueur 61: 8294A (739), type : 0
Joueur 62: 82K9T (694), type : 0
Joueur 63: 85249 (271), type : 0
Joueur 64: 86A43 (824), type : 0
Joueur 65: 872KT (325), type : 0
Joueur 66: 87542 (112), type : 0
Joueur 67: 89QA6 (6), type : 0
Joueur 68: 89A3T (693), type : 0
Joueur 69: 8Q235 (445), type : 0
Joueur 70: 8Q432 (816), type : 0
Joueur 71: 8Q732 (269), type : 0
Joueur 72: 8A27K (735), type : 0
Joueur 73: 8A9Q4 (404), type : 0
Joueur 74: 92T3Q (454), type : 0
Joueur 75: 9345Q (52), type : 0
Joueur 76: 935T4 (276), type : 0
Joueur 77: 93QK6 (488), type : 0
Joueur 78: 93K4T (499), type : 0
Joueur 79: 964QT (720), type : 0
Joueur 80: 97853 (333), type : 0
Joueur 81: 9TQ57 (798), type : 0
Joueur 82: 9Q5T4 (80), type : 0
Joueur 83: 9Q74A (758), type : 0
Joueur 84: 9Q8KA (2), type : 0
Joueur 85: 9K7AT (302), type : 0
Joueur 86: 9A384 (700), type : 0
Joueur 87: 9A576 (756), type : 0
Joueur 88: 9A8T5 (272), type : 0
Joueur 89: T2A7Q (913), type : 0
Joueur 90: T3A84 (870), type : 0
Joueur 91: T438Q (649), type : 0
Joueur 92: T5324 (412), type : 0
Joueur 93: T5Q64 (569), type : 0
Joueur 94: T768K (618), type : 0
Joueur 95: T89A7 (727), type : 0
Joueur 96: TQ2K4 (473), type : 0
Joueur 97: TQ623 (672), type : 0
Joueur 98: TQ85K (55), type : 0
Joueur 99: TKAQ9 (267), type : 0
Joueur 100: Q23K8 (825), type : 0
Joueur 101: Q2867 (584), type : 0
Joueur 102: Q3KA7 (141), type : 0
Joueur 103: Q5A24 (684), type : 0
Joueur 104: Q673A (939), type : 0
Joueur 105: Q754K (8), type : 0
Joueur 106: Q7958 (640), type : 0
Joueur 107: QA2K6 (554), type : 0
Joueur 108: K2365 (472), type : 0
Joueur 109: K264Q (948), type : 0
Joueur 110: K48Q2 (648), type : 0
Joueur 111: K52QT (688), type : 0
Joueur 112: K6A58 (164), type : 0
Joueur 113: K7623 (293), type : 0
Joueur 114: K784T (552), type : 0
